"location","location_qid"
"Московская область, Ново-Огарёво","Q1510282"
"Москва","Q649"
"Москва, Кремль","Q133274"
"Санкт-Петербург","Q656"
"Архангельск","Q1851"
"Северодвинск","Q190499"
"Эр-Рияд","Q3692"
"Абу-Даби","Q187712"
"Пятигорск","Q41970"
"Сириус","Q56433979"
"Сочи","Q39420"
"Минск","Q2280"
"Ростовская область","Q3573"
"Астана","Q1520"
"Москва, Красная Площадь","Q41116"
"Московская область, Королёв","Q155309"
"Пермь","Q915"
"Пекин","Q956"
"Бишкек","Q9361"
"Великий Новгород","Q2235"
"Ижевск","Q5426"
"Благовещенск","Q6934"
"Амурская область","Q6886"
"Приморский край, остров Русский","Q494924"
"Приморский край, Большой Камень","Q105342"
"Саров","Q193522"
"Нижегородская область, село Дивеево","Q3711923"
"Арзамас","Q103789"
"Тверская область, Тургиново","Q3533950"
"Московская область, Солнечногорск","Q196386"
"Курская область, посёлок Поныри","Q4372105"
"Республика Карелия","Q1914"
"Кронштадт","Q155863"
"Мурманск","Q1763"
"Мурманская область, посёлок Белокаменка","Q816129"
"Дербент","Q131416"
"Москва, Александровский Сад","Q1472498"
"Красногорск, Московская область","Q155569"
"Московская область, Подольск","Q19520"
"Тула","Q2770"
"Мариуполь","Q37133"
"Севастополь","Q7525"
"Улан-Удэ","Q6816"
"Архангельская область, посёлок Октябрьский","Q25745"
"Волгоград","Q914"
"Ленинградская область","Q2191"
"Уфа","Q911"
"Керченский пролив","Q187890"
"Ереван","Q1953"
"Тверская область","Q2292"
"Московская область","Q1697"
"Рязанская область","Q2753"
"Самарканд","Q5753"
"Приморский край","Q4341"
"Владивосток","Q959"
"Камчатский край","Q7948"
"Калининград","Q1829"
"Тегеран","Q3616"
"Ашхабад","Q23438"
"Душанбе","Q9365"
"Нью-Дели","Q987"
"Нижегородская область, полигон Мулино","Q4306886"
"Псковская область","Q2218"
"Амурская область, космодром Восточный","Q1166191"
"Нижний Новгород","Q891"
"Республика Башкортостан, Абзелиловский район","Q481602"
"Магнитогорск","Q95449"
"Ленинградская область, остров Коневец","Q37909947"
"Московская область, Жуковский","Q136435"
"Кемерово","Q6066"
"Женева","Q71"
"Саратовская область, Энгельс","Q198748"
"Саратовская область","Q5334"
"Сибирский федеральный округ","Q41979"
"Московская область, Химки","Q197582"
"Тверская область, Завидово","Q4183060"
"Новгородская область","Q2240"
"Тобольск","Q168782"
"Астраханская область","Q3941"
"Республика Крым","Q15966495"
"Керчь","Q157065"
"Тверская область, Ржевский район","Q45605"
"Московская область, Кубинка","Q155902"
"Коммунарка","Q88643858"
"Иваново","Q2630"
"Псков","Q2214"
"Красная Поляна","Q266071"
"Череповец","Q2144"
"Московская область, Красногорск","Q155569"
"Красногорск","Q155569"
"Вифлеем","Q5776"
"Иерусалим","Q1218"
"Израиль","Q801"
"Усмань","Q196907"
"Москва, Дом Правительства","Q844124"
"Берлин","Q64"
"Германия","Q183"
"Ленинградская область, Санкт-Петербург","Q656"
"Ялта","Q128499"
"Крым","Q756294"
"Стамбул","Q406"
"Дамаск","Q3766"
"Супс, Республика Адыгея","Q4446386"
"Керчь – Тамань","Q216664"
"Набережные Челны","Q95041"
"Париж","Q90"
"Нальчик","Q5265"
"Бразилиа","Q2844"
"Омск","Q898"
"Светлогорск","Q193595"
"Будапешт","Q1781"
"Таманский полуостров","Q216664"
"Оренбургская область, полигон «Донгуз»","Q4166125"
"Оренбург","Q5337"
"Анкара","Q3640"
"Махачкала","Q5168"
"Ботлих","Q731724"
"Дагестан","Q5118"
"Улан-Батор","Q23430"
"Тулун, Иркутская область","Q196709"
"Братск","Q132732"
"Казань","Q900"
"Хельсинки","Q1757"
"Борм-ле-Мимоза","Q733035"
"Марсель","Q23482"
"Анапа","Q15758"
"Ленинградская область, остров Гогланд","Q1049578"
"Челябинская область, Магнитогорск","Q95449"
"Иркутская область, Братск","Q132732"
"Иркутская область, Тулун","Q196709"
"Республика Карелия, остров Валаам","Q4102692"
"Екатеринбург","Q887"
"Рим","Q220"
"Ватикан","Q237"
"Осака","Q35765"
"Нур-Султан","Q1520"
"Ахтубинск","Q104201"
"Владивосток, остров Русский","Q494924"
"Чита","Q53139"
"Симферополь","Q19566"
"Красноярск","Q919"
"Татарстан, Иннополис","Q4201239"
"Белград","Q3711"
"Калининградская область","Q1749"
"Ярославль","Q2423"
"Буэнос-Айрес","Q1486"
"Псковская область, Печоры","Q179407"
"Сингапур","Q334"
"Петропавловск","Q488379"
"Москва, театр Российской Армии","Q1958711"
"Ханты-Мансийск","Q6329"
"Москва, ВДНХ","Q855493"
"г.Сарыагаш","Q630676"
"Ташкент","Q269"
"Ставропольский край, станица Георгиевская","Q12206516"
"Александрия, Белоруссия","Q9146749"
"Могилёв","Q154835"
"Ульяновск","Q5627"
"Минеральные Воды","Q158936"
"Баку","Q9248"
"Забайкальский край, полигон Цугол","Q57341192"
"Большой Камень","Q105342"
"Московская область, Ново-Огарево","Q1510282"
"Обь, Новосибирская область","Q175727"
"Новосибирск","Q883"
"Кемеровская область","Q6076"
"Республика Тыва","Q960"
"Курск","Q3159"
"Мезеберг","Q684703"
"Грац","Q13298"
"Актау","Q198989"
"Йоханнесбург","Q34647"
"Карелия","Q1914"
"Циндао","Q170322"
"Тяньцзинь","Q11736"
"Вена","Q1741"
"Тамань, Керчь","Q216664"
"остров Тузла","Q1284886"
"Краснодар","Q3646"
"Самара","Q894"
"Нижний Тагил","Q98967"
"Калининградская область, Гусев","Q5663"
"Ростов-на-Дону","Q908"
"Ленинградская область, Кировск","Q15273"
"Коломна","Q133026"
"Тверь","Q2288"
"Московская область, Балашиха","Q104557"
"Каир","Q85"
"Сирия","Q858"
"Сабетта","Q21644283"
"Белоруссия","Q184"
"Московская область, Истра","Q143297"
"Дананг","Q773330"
"Челябинск","Q906"
"Воронеж","Q3426"
"Ленинградская область, полигон Лужский","Q4268294"
"Сямэнь","Q68744"
"Рязань","Q2746"
"Коктебель","Q1743602"
"Пицунда","Q211318"
"Киров","Q5384"
"Республика Бурятия, посёлок Танхой","Q4451319"
"Савонлинна","Q683512"
"Пункахарью","Q428113"
"Петрозаводск","Q1895"
"Йошкар-Ола","Q5449"
"Йошкар Ола","Q5449"
"Губкин","Q134679"
"Белгород","Q3323"
"Гамбург","Q1055"
"Крым, Гурзуф","Q1026062"
"Краснодарский край","Q3680"
"Казахстан","Q232"
"Иркутск","Q6576"
"Рыбинск","Q193413"
"Архангельская область","Q1875"
"Брянск","Q2801"
"Алма-Ата","Q35493"
"Токио","Q1490"
"Нагато","Q390812"
"Миасс, Челябинск","Q105455"
"Лима","Q2868"
"Астрахань","Q3927"
"Гоа","Q1171"
"Индия, Бенолим","Q2564851"
"Ковров","Q102445"
"Владимирская область","Q2702"
"Оренбургская область","Q5338"
"Тульская область","Q2792"
"Ханчжоу","Q4970"
"остров Русский","Q2026512"
"Алтайский край, Белокуриха","Q102659"
"Любляна","Q437"
"Краньска-Гора, перевал Вршич","Q1089225"
"Тверская область, село Дмитрова Гора","Q4162927"
"Наантали","Q503862"
"Греция","Q41"
"Афины","Q1524"
"Ставрополь","Q1341"
"Москва, аэропорт Шереметьево","Q192733"
"Сочи, Красная Поляна","Q266071"
"Анталья","Q6487"
"Боровое","Q1009456"
"Нью-Йорк","Q60"
"Оренбургская область, полигон «Донгузский»","Q4166125"
"Магас","Q5222"
"Бахчисарай","Q158604"
"село Краснополье","Q4238940"
"Остров Русский","Q2026512"
"Новороссийск","Q48256"
"Балтийск","Q5660"
"Республика Хакасия","Q6543"
"Абакан","Q875"
"Кубинка","Q155902"
"Милан","Q490"
"Старая Русса","Q196479"
"Московская область, деревня Аносино","Q4066821"
"Московская область, Климовск","Q153684"
"Воронежская область, село Отрадное","Q14620441"
"Брисбен","Q34932"
"Сербия","Q403"
"Пенза","Q5540"
"Пензенская область, село Лермонтово","Q19638887"
"Чебоксары","Q5470"
"Атырау","Q486913"
"Кстово","Q155893"
"Кызыл","Q6049"
"Горно-Алтайск","Q6025"
"Амурская область, Углегорск","Q2096486"
"Якутия","Q6605"
"Якутск","Q6610"
"Тверская область, Селигер","Q746304"
"Североморск","Q193898"
"Сергиев Посад","Q193722"
"Форталеза","Q43463"
"Рио-де-Жанейро","Q8678"
"Манагуа","Q3274"
"Гавана","Q1563"
"Куба","Q241"
"Ставропольский край","Q5207"
"Уистреам","Q274825"
"Довиль","Q209021"
"Амурская область, Бурейский район","Q2217150"
"Амурская область, Нижне-Бурейская ГЭС","Q4318697"
"Благовещенский район, село Волково","Q1058016"
"Шанхай","Q8686"
"Сочи, ледовая арена «Шайба»","Q2389693"
"Сочи, стадион «Фишт»","Q1149601"
"Ленинградская область, полигон Кирилловский","Q2216860"
"Брюссель","Q239"
"Санкт-Петербург, Кировск","Q15273"
"Сочи, Красная Поляна","Q266071"
"Хабаровск","Q4454"
"Московская область, Мытищи","Q23185"
"Московская Область, Горки","Q4144381"
"Гюмри","Q199500"
"Триест","Q546"
"Инчхон","Q20934"
"Сеул","Q8684"
"Ханой","Q1858"
"Верхняя Пышма","Q133037"
"Туапсе","Q196702"
"Индонезия, остров Бали","Q4648"
"Индонезия","Q252"
"Салехард","Q6494"
"Нягань","Q175576"
"Петергоф","Q178310"
"Курган","Q13379"
"Биробиджан","Q7769"
"Московская область, Одинцовский район, село Ромашково","Q4397517"
"Селигер","Q746304"
"Киев","Q1899"
"Московская область, учебно-тренировочный центр «Новогорск»","Q64219634"
"Военный полигон Цугол","Q57341192"
"Южно-Сахалинск","Q7859"
"Остров Гогланд","Q1049578"
"Прохоровка","Q258359"
"Турку","Q38511"
"Резиденция «Култаранта»","Q1746455"
"Лох-Эрн","Q1324180"
"Лондон","Q84"
"Киргизия","Q813"
"Стрельна","Q258138"
"Ленинградская область, Гатчина","Q7436"
"село Верхняя Иволга, село Бада, Улан-Удэ","Q6816"
"Амстердам","Q727"
"Ганновер","Q1715"
"Дурбан","Q5468"
"Московская область, Николина Гора","Q4320712"
"Вологда","Q1957"
"Бельгия","Q31"
"Ульяновская область","Q5634"
"Павлодар","Q486282"
"Ямало-Ненецкий автономный округ, орнитологическая станция «Кушеват»","Q117087004"
"Московская область, Бородино","Q894049"
"Казань, Болгар, Свияжск","Q900"
"Саранск","Q5343"
"Ленинградская область, посёлок Зеркальный","Q19674480"
"Валаам","Q1421396"
"Геленджик","Q15775"
"Краснодарский край, Крымск","Q16978"
"Иордания","Q810"
"Нетания","Q192225"
"Лос-Кабос","Q659516"
"Мексика, Лос-Кабос","Q659516"
"Кореновск","Q16971"
"Москва, Большой Кремлёвский дворец","Q1370087"
"Московская область, Барвиха","Q2042212"
"Московская область, Домодедово","Q186614"
"Московская область, Звенигород","Q136834"
"Московская область, Троицк","Q196694"
"Кировск","Q153609"
"Новокуйбышевск","Q175124"
"Сколково","Q1091186"
"Москва, Манежная площадь","Q2253418"
"Московская область, село Ильинское","Q4414307"
"Москва, Данилов монастырь","Q658262"
"Московская область, Котельники","Q155405"
"Прага","Q1085"
"Владикавказ","Q5239"
"Нижний Бестях","Q1615832"
"Гонолулу","Q18094"
"Любмин","Q652146"
"Канны","Q39984"
"Барнаул","Q6014"
"Украина","Q212"
"Нарьян-Мар","Q2174"
"Звенигород","Q136834"
"Челябинская область","Q5714"
"Ульяновская область, Димитровград","Q135285"
"Московская область, Завидово","Q279715"
"Туношна","Q1147420"
"Майкоп","Q3752"
"Краснодарский край, Молькино","Q18404981"
"Мичуринск","Q159124"
"Владимир","Q2684"
"Казахстан, Астана","Q1520"
"Дзержинск, Нижегородская область","Q2246"
"Франция, Довиль","Q209021"
"Кострома","Q2592"
"Московская область, Лыткарино","Q157779"
"Чернобыль","Q129677"
"Гонконг","Q8646"
"Боао","Q391942"
"Санья","Q319804"
"Смоленск","Q2337"
"Москва, МЭИ","Q224802"
"Московская область, Щёлково","Q198369"
"Саяногорск","Q193580"
"Элиста","Q3977"
"Краснознаменск","Q155606"
"Москва, Внуково","Q273462"
"Москва, Большой Кремлёвский Дворец","Q1370087"
"Давос","Q68097"
"Москва, НИИ скорой помощи им. Н.В.Склифосовского","Q4304061"
"Амман","Q3805"
"Иерихон","Q5687"
"Красная Поляна, Сочи","Q39420"
"Мумбаи","Q1156"
"Агра","Q606343"
"Московская область, Сколково","Q1091186"
"Варшава","Q270"
"Измайловка","Q4198632"
"Нижегородская область, Гороховецкий военный полигон","Q4145794"
"Сыктывкар","Q2143"
"Лиссабон","Q597"
"Ессентуки","Q135787"
"Кисловодск","Q153676"
"Иокогама","Q38283"
"Остров Кунашир, Южно-Курильск","Q600699"
"Московская область, Солнечногорский район","Q2537742"
"Республика Татарстан","Q5481"
"Туркменбаши","Q488987"
"Козельск","Q154661"
"Кипр, Никосия","Q3856"
"Алжир","Q262"
"Петропавловск-Камчатский","Q7951"
"Китай, Далянь","Q74881"
"Украина, Сумская область, Глухов","Q864827"
"Брянская область, Сумская область","Q170446"
"Усть-Каменогорск","Q162548"
"Саратов","Q5332"
"Таганрог","Q170513"
"Сухум, Гудаута","Q242593"
"о.Сейли","Q4349554"
"Пушкин","Q7947"
"Московская область, аэропорт Внуково","Q273462"
"Торонто","Q172"
"Хантсвилл","Q79860"
"Вашингтон","Q61"
"Калифорния","Q99"
"Калифорния, Пало-Альто","Q47265"
"Калифорния, Купертино","Q189471"
"Сан-Хосе, Калифорния","Q16553"
"Сан-Франциско","Q62"
"Грозный","Q5196"
"Московская область, Пушкинский район","Q220316"
"Ленинградская область, Сосновый Бор","Q15335"
"Москва, храм Христа Спасителя","Q194474"
"Московская область, Волоколамский район","Q940875"
"Обнинск","Q175651"
"Копенгаген","Q1748"
"Осло","Q585"
"Истра","Q143297"
"Украина, Харьков","Q42308"
"Краков","Q31487"
"Внуково","Q273462"
"Выборг","Q14657"
"Братислава","Q1780"
"Черкесск","Q5326"
"Московская область, посёлок Загорянский","Q4023650"
"Москва, театр Российской Армии","Q1958711"
"Томск","Q976"
"Липецк","Q3490"
"Московская область, полигон «Выстрел»","Q2948429"
"Москва, Совет Федерации","Q186473"
"Копенгаген, Дания","Q35"
"Москва, спорткомплекс «Олимпийский»","Q32960"
"Москва, Российская академия наук","Q83172"
"Москва, ГУМ","Q549498"
"Москва, Московский международный Дом музыки","Q4304187"
"Москва, Внуково-2","Q273462"
"Москва, МГУ имени М.В.Ломоносова","Q13164"
"Словения, Марибор","Q1010"
"Стокгольм","Q1754"
"Суздаль","Q15757"
"Московская область, Фрязино","Q197386"
"Московская область, Реутов","Q193293"
"Казахстан, полигон Матыбулак","Q13100414"
"Москва, Останкино","Q7219457"
"Москва, стадион Лужники","Q202163"
"Кишинёв","Q21197"
"Малоархангельск","Q157990"
"Москва, Курчатовский институт","Q1794356"
"Брестская область, Барановичи","Q237655"
"Калининградская область, полигон Хмелёвка","Q1749"
"Питтсбург","Q1342"
"Нью-Йорк, США","Q60"
"Андерматт","Q64019"
"Берн","Q70"
"Москва. Кремль","Q133274"
"Владимирская область, Покров","Q181531"
"Покров, Владимирская область","Q181531"
"Сочи, Бочаров Ручей","Q4095338"
"Сочи, Бочаров ручей","Q4095338"
"Московская Область, Горки","Q4144381"
"Чолпон-Ата","Q1017314"
"Киргизия, Чолпон-Ата","Q1017314"
"Таджикистан","Q863"
"Московская Область, Барвиха","Q2042212"
"Московская область,Барвиха","Q2042212"
"Москва, Центральный Московский Ипподром","Q2382815"
"Центральный московский ипподром","Q2382815"
"Мюнхен","Q1726"
"Цхинвал","Q79863"
"Аквила","Q3476"
"Италия, Аквила","Q3476"
"Италия","Q38"
"Северодвинск, «Севмаш»","Q2628643"
"Москва, Кермль","Q133274"
"Луанда","Q3897"
"Виндхук","Q3935"
"Абуджа","Q3787"
"Ленинградская область, Павловск","Q37133"
"Москва, «Лаборатория Касперского»","Q98977541"
"Москва, Большой театр","Q138908"
"Санкт-Петербург, теплоход «Ривер Пэлас»","Q656"
"Стрельна, Константиновский дворец","Q588680"
"Московскя область, Горки","Q4144381"
"Москва, Экспоцентр","Q2023657"
"Порвоо","Q193367"
"Мадрид","Q2807"
"Мадрид, дворец Сарсуэла","Q604921"
"Мадрид, Каса де Америка","Q8341733"
"Мадрид, Каса де Америка","Q8341733"
"Мадрид, дворец Эль-Пардо","Q1368571"
"Италия, Бари","Q3519"
"Иркутской область, Листвянка","Q335422"
"Вологодская область","Q2015"
"Москва, Богоявленский собор","Q401613"
"Москва, ММПП «Салют»","Q1949319"
"Сергиево-Посадский район, деревня Топорково","Q432620"
"Москва, Гостиный Двор","Q1538679"
"Казахстан, Боровое","Q1009456"
"Москва, Государственный Кремлёвский дворец","Q2033910"
"Нью-дели","Q987"
"Венесуэла, Порт Ла-Гуйара","Q873405"
"Каракас","Q1533"
"Рио-да-жанейро","Q8678"
"Рио-Де-Жанейро","Q8678"
"Перу","Q419"
"Франция","Q142"
"Франция, Канны","Q39984"
"Санкт-Петербург, Шушары","Q2667658"
"Армения, Ереван","Q1953"
"Армения","Q399"
"Одинцово","Q175742"
"Москва, театр «Ленком»","Q2396186"
"Архангельская область, Мирный","Q105477"
"Баренцево море","Q45823"
"Киргизия, Бишкек","Q9361"
"Эвиан","Q273017"
"Франция, Эвиан","Q273017"
"Москва, Большой Кремлевский дворец","Q1370087"
"Оренбургская область, полигон Донгуз","Q4166125"
"Камчатка, Вилючинск","Q133093"
"Магадан","Q7968"
"Анадырь","Q7978"
"Чукотка, Анадырь","Q7978"
"Чукотка, село Канчалан","Q4212759"
"Казахстан, Актюбинск","Q477232"
"Москва, Свято-Данилов монастырь","Q3320249"
"Московская область, замок Майендорф","Q1546590"
"Гипроземгородок","Q9365"
"Северная Осетия","Q5237"
"Ярославлавская область, Углич","Q196786"
"Смоленская область, Гагарин","Q134318"
"Москва, МИФИ","Q56837"
"Московская Область, Клин","Q153698"
"Московская область, Клин","Q153698"
"Япония, остров Хоккайдо, Тояко-Онсэн","Q11555858"
"Тояко","Q1022930"
"Япония, остров Хоккайдо, Тояко-Онсэн","Q11555858"
"Остров Хоккайдо, Титосэ","Q693237"
"Москва, Воробьёвы горы","Q592880"
"Белоруссия, Брест","Q140147"
"Санкт-Петербург, Стрельна","Q258138"
"Москва, Манеж","Q1889165"
"Санкт-Петербург, «Ленэкспо»","Q4258701"
"Стрельна, Константиновский Дворец","Q588680"
"Кострома, Военная Академия радиоционной, химической и биологическрй защиты имени маршала С.К.Тимошенко","Q4114347"
"Ивановская область, Тейково","Q196643"
"Ново-Огарёво","Q1510282"
"Сардиния","Q1462"
"Триполи","Q3579"
"Бухарест","Q19660"
"Москва, Театр «Современник»","Q1979285"
"Ново-Огарево","Q1510282"
"Москва, Васильевский Спуск","Q4365510"
"Москва, Воробьёвы Горы","Q592880"
"Телетрансляция","Q15416"
"Москва, Александровский Сад","Q1472498"
"Москва, Государственный Кремлёвский Дворец","Q2033910"
"Москва, Дом Приёмов Правительства","Q4338214"
"Московская Область, Жуковский","Q136435"
"Северный Кавказ","Q37736"
"Ростовская Область","Q3573"
"Ростовская Область, Новочеркасск","Q175452"
"Новочеркасск","Q175452"
"Ростовская Область, Посёлок Рассвет","Q4390315"
"София","Q472"
"София, Национальный Дворец Культуры","Q3269914"
"Новгородская Область, Валдай","Q132947"
"Вологодская Область","Q2015"
"Великий Устюг","Q111048"
"Поселок Шушары, Ленинградская Область","Q2667658"
"Москва, Лужники","Q202163"
"Химки, Московская Область","Q1697"
"Москва, Стадион «Лужники»","Q202163"
"Москва, Большой Кремлевский Дворец","Q1370087"
"Москва, Министерство Обороны","Q1146492"
"Завидово, Тверская Область","Q4183060"
"Москва, Бутово","Q4100270"
"Португалия, Мафра","Q986419"
"Тегеран, Дворец Саадабад","Q1969012"
"Висбаден, Курхаус","Q897221"
"Германия, Висбаден","Q1721"
"Москва, Лефортово","Q1382617"
"Кремль","Q133274"
"Белгородская Область","Q3329"
"Чувашия, Чебоксары, Деревня Тренькасы","Q13207463"
"Сидней","Q3130"
"Джакарта","Q3630"
"Камчатка","Q993"
"Село Икряное","Q4199081"
"Челябинская область, Чебаркуль, 225-й общевойсковой полигон","Q28650742"
"Тува","Q960"
"Ленинградская Область, Лехтуси","Q3742906"
"Москва,Кремль","Q133274"
"Москва, Кремл Ь","Q133274"
"Мордовия, Старая Теризморга","Q18173093"
"Мордовия","Q5340"
"Тверская Область, Завидово","Q279715"
"Москва, Здание Мэрии","Q4189950"
"Москва, аэропорт «Внуково-2»","Q273462"
"Гватемала","Q774"
"США, Уолкерс-Пойнт","Q1017467"
"Ростовская Область, Сельхозпредприятие «Рассвет»","Q3573"
"Ростов-На-Дону","Q908"
"Загреб, Хорватия","Q224"
"Загреб","Q1435"
"Самарская Область","Q1727"
"Троице-Лыково","Q3540224"
"Хайлигендамм","Q164690"
"Поместье Хоэн Луков","Q1614072"
"Росток","Q2861"
"Люксембург","Q32"
"Вена, Дворец Хофбург","Q46242"
"Тольятти","Q1341"
"Самарская Область, Волжский Утес","Q4123125"
"Москва, Храм Христа Спасителя","Q194474"
"Москва, Красная Площадь","Q41116"
"Калуга","Q2837"
"Москва, Государственный Кремлевский Дворец","Q2033910"
"Москва, выставочный комплекс «Крокус Экспо»","Q4241564"
"Бари, Железнодорожный Вокзал","Q1339195"
"Бари","Q3519"
"Бари, Замок Свево","Q790430"
"Орел","Q10586"
"Екатерининский Зал","Q28667520"
"Сочи, санаторий «Русь»","Q39420"
"Амман, Дворец Басман","Q4702836"
"Доха","Q3861"
"Москва, Кремль, Екатерининский Зал","Q28667520"
"Архангельская Область, Мирный","Q105477"
"Ивановская Область, Тейково","Q196643"
"Санкт-Петербург, дом Державина","Q12130484"
"Ленинградская Область","Q2191"
"Санкт-Петербург, Константиновский Дворец","Q588680"
"Эспо, Музей Современного Искусства","Q188740"
"Дом Сословий","Q3279961"
"Хельсинки, Дом Сословий","Q3279961"
"Москва, Культурный Центр Российской Армии","Q4246746"
"Москва, Большой Кремлевский Дворец, Георгиевский Зал","Q1370087"
"Санкт-Петербург, Смольный","Q4425090"
"Санкт-Петербург, Таврический Дворец","Q676093"
"Финляндия","Q33"
"Зеленоград","Q207695"
"Бавария","Q980"
"Дрезден","Q1731"
"Уральск","Q487439"
"Компьень","Q180871"
"Ле-Бурже","Q272906"
"Московская Область, Сколково","Q1091186"
"Калининградская Область","Q1749"
"Касабланка","Q7903"
"Южно-Африканская Республика","Q258"
"Кейптаун","Q5465"
"Химки","Q197582"
"Сочи. Бочаров Ручей","Q4095338"
"Саранск, Мордовия","Q5340"
"Московская Область","Q1697"
"Ленинградская Область, Колпино","Q154738"
"Ленинградская Область, Пушкин","Q7947"
"Москва, Президент-Отель","Q69797523"
"Москва, Центр Международной Торговли","Q21651885"
"Московская область, пансионат «Лесные дали»","Q126001089"
"Москва, Министерство Иностранных Дел","Q789889"
"Минск, Здание Национальной Библиотеки Белоруссии","Q971450"
"Удмуртия, Ижевск","Q5426"
"Удмуртия","Q5422"
"Казахстан, Космодром Байконур","Q177477"
"Москва. Большой Кремлевский Дворец","Q1370087"
"Москва, Колонный Зал Дома Союзов","Q3408535"
"Московский Государственный Университет Имени М.В.Ломоносова","Q13164"
"Москва, Кремль, Ивановская Площадь","Q1970511"
"Томск, Научная Библиотека Томского Государственного Университета","Q4314466"
"Москва, Фундаментальная Библиотека Мгу Им.М.Ломоносова","Q4314464"
"Республика Коми","Q2073"
"Республика Коми, Сыктывкар","Q2143"
"Москва, Чистые пруды","Q2458029"
"Поселок Барвиха, Замок Майендорф","Q1546590"
"Китай, Провинция Хэнань","Q43684"
"Москва, Чистый Переулок","Q4516579"
"Мадрид, Дворец Монклоа","Q1367970"
"Мадрид, Площадь Леальтад","Q6080203"
"Мадрид, Дворец Сената","Q10343739"
"Мадрид, Королевский Дворец Паласио-Де-Ориенте","Q171517"
"Торрелодонес","Q542958"
"Мадрид, Дворец Сарсуэла","Q604921"
"Большой Кремлевский Дворец, Александровский Зал","Q4061452"
"Москва, Патриаршие палаты Кремля","Q1320242"
"Новогорск, Московская Область","Q1697"
"Малайзия, Куала-Лумпур","Q1865"
"Москва, Центральный Академический Театр Российской Армии","Q1958711"
"Магадан, Здание Областной Администрации","Q7968"
"Токио, Императорский Дворец","Q80290"
"Токио, «Роппонги Хиллз»","Q1071084"
"Пусан","Q16520"
"Турция, Самсун","Q160450"
"Большой Кремлевский Дворец, Георгиевский Зал","Q1370087"
"Гаага, Королевский Дворец Ноордейнде","Q1889721"
"Гаага, Дворец Мира","Q834448"
"Гаага, Бинненхоф","Q863935"
"Гаага","Q36600"
"Заандам","Q211260"
"Амстердам, Резиденция Бургомистра","Q1056152"
"Кабардино-Балкария","Q5267"
"Москва, Большой Театр","Q138908"
"Лондон, Даунинг-Стрит, 10","Q169101"
"Лондон, Даунинг-Стрит","Q192687"
"Брюссель, Дворец Изящных Искусств","Q2628596"
"Брюссель, Эгмонтский Дворец","Q2429651"
"Брюссель, Дворец Лакен","Q1542585"
"Москва, Большой Концертный Зал «Академический»","Q124798517"
"Вашингтон, Белый Дом, Овальный Кабинет","Q338067"
"Бейонн, Штат Нью-Джерси","Q812589"
"Греция, полуостров Халкидики, вилла Галини","Q124798619"
"Берлин, Посольство России","Q836838"
"Краснодарский Край","Q3680"
"Баренцево Море","Q45823"
"Мурманская Область, Североморск","Q193898"
"Мурманская Область, Оленегорск","Q176364"
"Московская Область, Аэродром Чкаловский","Q908071"
"Алтайский Край, Барнаул","Q6014"
"Московская Область, Щербинка","Q198388"
"Финляндия, Турку","Q38511"
"Финляндия, Култаранта","Q1746455"
"Астраханская Область","Q3941"
"Глениглс","Q1530960"
"Шотландия","Q22"
"Светлогорск, Калининградская Область","Q1749"
"Московская Область, Чехов","Q198087"
"Казахстан, Байконур. Отель «Звездный»","Q177477"
"Казахстан, Байконур. Гостиница «Космонавт»","Q177477"
"Казахстан, Байконур","Q177477"
"Ростовская область, станица Вёшенская","Q2637584"
"Аркаим, Челябинская Область","Q5714"
"Москва. Государственный Музей Пушкина","Q4872"
"Москва, «Президент-отель»","Q69797523"
"Москва, Площадь де Голля","Q4365830"
"Москва, Поклонная Гора","Q2370140"
"Рамалла","Q158119"
